year,kind,rating,vote,runtime,genre1,genre2,country1,country2,language1,language2,cast1,cast2,director1,director2,composer1,composer2,writer1,writer2
1976,1,7.7,8088.0,94.0,6,14,61,67,16,110,2257,2665,2992,278,2512,762,3659,3786
2003,7,6.5,2068.0,92.0,2,1,62,71,16,8,2176,3018,3474,156,1623,762,0,3519
1997,1,8.1,46163.0,100.0,2,0,37,71,33,110,3116,3750,1459,322,2263,762,1736,3786
2003,4,6.4,128.0,85.0,1,2,37,71,33,110,3822,3506,3923,611,2512,762,4150,3424
1999,0,7.9,899.0,93.0,5,7,61,71,16,110,2309,1121,1734,611,1181,762,266,425
2002,7,4.7,6544.0,119.0,2,1,62,30,16,110,2028,2453,398,611,337,762,2465,1041
1999,1,6.2,5245.0,30.0,7,19,30,71,26,110,12,3469,1526,611,514,604,3319,7
1967,1,7.5,2436.0,75.0,7,12,61,71,16,110,3540,2163,2987,611,2087,762,3704,1138
2001,4,5.8,416.0,89.0,2,8,61,71,16,110,1457,2787,3923,611,2512,762,1704,1944
1942,1,6.1,6167.0,114.0,2,21,62,7,16,77,1512,2768,4002,237,675,509,4582,3675
1973,1,6.5,826.0,90.0,0,5,37,71,33,110,3788,3447,3784,611,2512,762,4607,2336
1999,7,5.4,610.0,76.0,0,20,62,71,16,110,1554,689,1537,611,2317,762,1411,1224
1991,1,5.3,413.0,91.0,7,27,50,56,48,110,4766,341,1505,611,2512,762,4818,3758
1984,1,6.0,2925.0,120.0,4,19,62,71,16,110,1262,181,359,611,1483,762,2398,3786
1998,1,7.9,91.0,77.0,14,27,61,71,16,110,4124,201,865,611,2512,762,4765,3786
1993,1,7.2,7668.0,96.82821118991332,0,4,27,71,7,110,2163,2750,699,611,2150,428,2681,3375
1997,1,6.2,67.0,96.82821118991332,2,4,37,71,16,52,115,5302,2052,341,2512,762,3405,2036
1996,3,7.0,4208.0,65.0,7,24,62,71,16,110,1141,5031,572,432,436,762,3541,897
2005,7,3.3,502.0,101.0,0,13,62,71,16,110,3074,188,1195,611,2588,762,63,51
1994,1,5.9,14.0,108.0,6,14,62,71,16,110,2871,3309,1692,611,2512,762,4765,3786
2003,1,7.2,202.0,88.0,4,27,62,71,16,110,800,2538,318,611,2512,762,4765,3786
1998,1,3.8,271.0,95.0,0,7,15,9,16,110,3422,473,2724,611,1942,762,698,3786
2005,7,7.6,134.0,102.0,4,27,62,71,16,110,1633,1095,3863,247,2512,762,4765,3786
2003,7,7.9,164.0,93.0,6,14,62,71,16,110,2295,5694,3570,289,2512,762,4765,3786
2000,3,6.0,641.0,6.0,3,7,62,71,16,110,3669,1132,819,611,599,762,3248,3786
2003,3,5.7,399.0,98.0,26,27,62,71,16,110,643,665,1177,611,1201,762,1419,746
1988,1,7.6,67057.0,83.0,7,19,62,66,16,110,1645,2656,3613,611,839,762,734,490
1990,7,7.2,21.0,139.0,2,21,62,71,16,95,690,1721,1961,365,2512,762,4720,526
