year,kind,rating,vote,runtime,genre1,genre2,country1,country2,language1,language2,cast1,cast2,director1,director2,composer1,composer2,writer1,writer2
2004,movie,7.0,17871.0,273.0,Animation, Action,Japan,None,Japanese,None,Ai Kobayashi, Jûrôta Kosugi,Shinji Aramaki,None,Paul Oakenfold, T. Raumschmiere,Shirow Masamune, Haruka Handa
1998,video movie,7.8,13501.0,38.0,Animation, Adventure,United States,None,English,None,Scott Innes, Billy West,Jim Stenstrum,None,Steven Bramson,None,Glenn Leopold, Davis Doi
2003,video movie,7.1,12.0,94.0,Documentary,None,United States,None,English,None,Mike Vallely,None,Mark Jeremias,None,Unknown,None,Mark Jeremias, Mike Vallely
2002,movie,3.6,16416.0,96.82821118991332,Comedy, Romance,United Kingdom, Italy,English, Greek,Bruce Greenwood, Madonna,Guy Ritchie,None,Michel Colombier,None,Guy Ritchie, Lina Wertmüller
2000,video movie,8.0,42.0,125.0,Documentary, Sport,United States,None,English,None,Ken Bradshaw, Shawn Briley,Tim Bonython,None,Unknown,None,Unknown,None
1990,video movie,6.5,1224.0,91.0,Animation, Adventure,Japan,None,Japanese, English,Kazuki Yao, Keiko Toda,Kazuo Yamazaki,None,Hidenobu Takimoto, Kazuhiko Toyama,Yoshiaki Kawajiri, Hideyuki Kikuchi
2005,movie,6.6,200.0,60.0,Action,None,United States,None,English,None,Paul Levesque, Dave Bautista,Kevin Dunn,None,Unknown,None,Unknown,None
1994,movie,6.7,338.0,96.0,Comedy, Drama,United Kingdom,None,English,None,Vanessa Redgrave, John Hurt,Beeban Kidron,None,Rachel Portman,None,Jeanette Winterson,None
1985,movie,5.9,3006.0,94.0,Comedy, Drama,Australia,None,English,None,Eric Roberts, Greta Scacchi,Dusan Makavejev,None,William Motzing,None,Frank Moorhouse, Denny Lawrence
2000,video movie,4.2,517.0,108.0,Horror, Thriller,United States,None,English,None,Andrea Roth, Lisa Dean Ryan,Peter Liapis,None,Richard Bowers,None,Suzanne Dolan, Cyndi Pass
1994,tv movie,8.7,199.0,107.0,Documentary, History,United States,None,English,None,David McCallum, Wyn Wade,Melissa Jo Peltier,None,Zeljko Marasovich, Christopher L. Stone,Melissa Jo Peltier,None
2004,movie,4.7,2261.0,131.0,Action, Comedy,Ireland,None,English,None,Marian Araujo, David Muyllaert,Conor McMahon,None,John Gillooley,None,Conor McMahon,None
2002,tv series,6.5,756.0,106.0,Comedy, Reality-TV,United States,None,English,None,Jamie Kennedy, Mark Riccadonna,Unknown,None,Unknown,None,Fax Bahr, Fax Bahr
2000,movie,4.3,186.0,90.0,Thriller,None,United States,None,English,None,Lauren Sinclair, Brian McNamara,Scott A. Meehan,None,James McVay,None,Scott A. Meehan, Edgar Lee Masters
1992,movie,7.2,4265.0,123.0,Action, Fantasy,Hong Kong,None,Cantonese, Japanese,Jet Li, Brigitte Lin,Siu-Tung Ching, Stanley Tong,Richard Yuen,None,Louis Cha, Tin-suen Chan
1999,tv series,6.9,1268.0,98.0,Action, Drama,Canada, Germany,English,None,Michael Easton, Karl Pruner,Unknown,None,Unknown,None,Philip K. Dick, Art Monterastelli
2003,tv movie,6.7,15.0,95.0,Documentary,None,United States,None,English,None,Rick D. Wasserman, Stan Goldenberg,Unknown,None,Mac Squier,None,Lorraine DiRienzo, Kim Woodard
1923,movie,7.1,4275.0,84.0,Comedy,None,United States,None,None,None,Buster Keaton, Margaret Leahy,Edward F. Cline, Buster Keaton,Robert Israel,None,Clyde Bruckman, Joseph A. Mitchell
1995,movie,7.8,6753.0,101.0,Documentary, History,France, United Kingdom,English,None,Lily Tomlin, Tony Curtis,Rob Epstein, Jeffrey Friedman,Carter Burwell,None,Vito Russo, Rob Epstein
1970,movie,7.5,8021.0,106.0,Biography, Drama,France,None,French, French Sign Language,Jean-Pierre Cargol, François Truffaut,François Truffaut,None,Unknown,None,François Truffaut, Jean Gruault
1996,movie,8.1,11717.0,50.0,Action, Drama,India,None,Tamil,None,Kamal Haasan, Sukanya,S. Shankar,None,A.R. Rahman,None,S. Shankar, S. Shankar
1989,tv mini series,8.1,378.0,138.0,Drama, Mystery,United Kingdom, United States,English,None,Susan Fleetwood, John Gielgud,Unknown,None,Unknown,None,John Mortimer, John Mortimer
2005,video movie,8.3,28.0,90.0,Sport,None,United States,None,English,None,Roy Jones Jr., Percy Harris,Unknown,None,Unknown,None,Unknown,None
1986,movie,5.2,289.0,99.0,Action, Horror,Hong Kong,None,Cantonese,None,Emily Chu, Kit Ying Lam,Siu-Tung Ching,None,Unknown,None,Jin Ba, Jing-Kong Tsui
2001,movie,5.7,159.0,76.0,Comedy, Romance,Hong Kong,None,Cantonese,None,Leon Lai, Cecilia Cheung,Jing Wong,None,Unknown,None,Jing Wong,None
1992,movie,6.9,20228.0,113.0,Biography, Drama,France, United Kingdom,English, French,Jeanne Moreau, Jane March,Jean-Jacques Annaud,None,Gabriel Yared,None,Marguerite Duras, Gérard Brach
2003,movie,8.1,158249.0,60.0,Crime, Drama,South Korea,None,Korean, English,Kang-ho Song, Kim Sang-kyung,Bong Joon Ho,None,Tarô Iwashiro,None,Bong Joon Ho, Kwang-rim Kim
2004,movie,8.1,343370.0,143.0,Biography, Drama,United Kingdom, South Africa,English, French,Xolani Mali, Don Cheadle,Terry George,None,Afro Celt Sound System, Rupert Gregson-Williams,Keir Pearson, Terry George
2002,episode,7.6,139.0,132.0,Documentary, Biography,United States,None,English,None,John Nash, Liev Schreiber,Mark Samels,None,Tom Philips,None,Mark Samels, Randall MacLowry
1991,movie,6.0,354.0,110.0,Comedy, Drama,Spain,None,Spanish,None,Carmen Maura, Antonio Resines,Ana Belén,None,Mariano Díaz,None,Carmen Rico-Godoy, Carmen Rico-Godoy
1996,movie,7.6,7357.0,96.82821118991332,Comedy, Drama,France,None,French,None,Melvil Poupaud, Amanda Langlet,Éric Rohmer,None,Philippe Eidel, Sébastien Erms,Éric Rohmer,None
1993,movie,7.2,2765.0,122.0,Drama, Fantasy,Hong Kong,None,Cantonese,None,Maggie Cheung, Joey Wang,Hark Tsui,None,Tsung-Tak Lui, James Wong,Pik-Wah Lee, Pik-Wah Lee
1961,movie,8.0,24120.0,112.0,Drama,None,Sweden,None,Swedish, Latin,Harriet Andersson, Gunnar Björnstrand,Ingmar Bergman,None,Erik Nordgren,None,Ingmar Bergman,None
1981,movie,6.5,5838.0,111.0,Drama, Musical,United States,None,English, German,Frederic Forrest, Teri Garr,Francis Ford Coppola,None,Tom Waits,None,Armyan Bernstein, Francis Ford Coppola
1996,tv series,7.6,454.0,95.0,Animation, Action,Unknown,None,Unknown,None,Kira Vincent-Davis, Cynthia Martinez,Unknown,None,Unknown,None,Shô Aikawa, Shô Aikawa
2001,movie,5.1,1577.0,60.0,Comedy, Horror,Japan,None,Japanese,None,Norman England, Tomoka Hayashi,Naoyuki Tomomatsu,None,Tokusatsu,None,Kenji Ohtsuki, Chisato Ôgawara
1999,video movie,3.8,2113.0,95.0,Fantasy, Horror,United States, Ireland,English,None,Bruce Payne, Ashley Laurence,Eric Freiser,None,David Reynolds,None,Pierce Milestone, Bruce David Eisen
1962,movie,7.1,4252.0,124.0,Comedy, Fantasy,Italy, France,Italian, German,Marisa Solinas, Germano Gilioli,Vittorio De Sica, Federico Fellini,Nino Rota, Armando Trovajoli,Giovanni Arpino, Suso Cecchi DAmico
2002,movie,6.7,13501.0,86.0,Drama, Romance,Mexico, Spain,Spanish,None,Gael García Bernal, Ana Claudia Talancón,Carlos Carrera,None,Rosino Serrano,None,Vicente Leñero, Eça de Queirós
2002,tv movie,3.5,920.0,127.0,Comedy, Family,United States,None,English,None,Shelley Long, Gary Cole,Neal Israel,None,Laurence Juber,None,Sherwood Schwartz, Lloyd J. Schwartz
1973,movie,7.4,1962.0,165.0,Action, Drama,India,None,Hindi,None,Dharmendra, Zeenat Aman,Nasir Hussain,None,Rahul Dev Burman,None,Javed Akhtar, Javed Akhtar
2000,movie,7.8,717.0,96.82821118991332,Documentary, History,United States,None,English,None,Ben Kingsley, Michael Sells,Robert H. Gardner,None,Leonard Lionnet,None,Jonathan Grupper,None
1998,movie,8.4,14.0,109.0,Documentary,None,United States,None,English,None,Unknown,None,Marion Cajori,None,Philip Glass,None,Marion Cajori,None
2002,episode,6.9,397.0,93.0,Crime, Drama,United Kingdom,None,English,None,James McAvoy, Naomi Frederick,Kim Flitcroft,None,Robert Lockhart,None,Elizabeth George, Lizzie Mickery
1999,movie,6.1,42696.0,87.0,Comedy, Drama,United States,None,English,None,Geoffrey Blake, Gail Boggs,Ron Howard,None,Randy Edelman,None,Émile Gaudreault, Sylvie Bouchard
1994,tv series,8.3,19848.0,63.0,Comedy, Drama,United States,None,English,None,Bess Armstrong, Wilson Cruz,Unknown,None,Unknown,None,Winnie Holzman, Winnie Holzman
2000,movie,7.1,215.0,90.0,Documentary, Biography,United States,None,English,None,Brigid Berlin, Honey Berlin,Shelly Dunn Fremont, Vincent Fremont,Chris Stein,None,Unknown,None
1994,movie,9.3,2462087.0,96.82821118991332,Drama,None,United States,None,English,None,Tim Robbins, Morgan Freeman,Frank Darabont,None,Thomas Newman,None,Stephen King, Frank Darabont
1987,movie,8.2,30.0,93.0,Documentary, Music,United States,None,English,None,Jerry Allison, Tommy Allsup,Richard Spence,None,Unknown,None,Unknown,None
1981,movie,2.7,812.0,90.0,Comedy, Romance,United States,None,English,None,Terry Congie, Lesley Brander,Richard Brander,None,Unknown,None,Craig Kusaba,None
1999,tv mini series,7.0,2484.0,94.57352941176471,Drama,None,United States,None,English,None,Josh Hamilton, Julia Stiles,Unknown,None,Unknown,None,Bill Couturié, Jeffrey Alan Fiskin
1992,movie,6.5,28820.0,81.0,Animation, Adventure,Australia, United States,English,None,Tim Curry, Samantha Mathis,Bill Kroyer,None,Alan Silvestri,None,Jim Cox, Diana Young
2005,tv series,8.4,285.0,92.0,Documentary, Biography,United States,None,English,None,Edward Herrmann, H.W. Brands,Unknown,None,Unknown,None,Rhys Thomas,None
2005,movie,4.6,1432.0,91.0,Musical, Action,United States,None,English,None,Beanie Sigel, N.O.R.E.,Damon Dash,None,Kerry Muzzey, Beanie Sigel,Adam Moreno, Damon Dash
2002,movie,7.1,2276.0,93.0,Documentary,None,Germany, United States,English,None,Jack Angstreich, Eric Chadbourne,Angela Christlieb, Stephen Kijak,Robert Drasnin, Stereo Total,Angela Christlieb,None
1999,tv series,6.9,2213.0,102.0,Animation, Action,Unknown,None,Unknown,None,Laurent Vernin, Dwayne Hill,Unknown,None,Unknown,None,Ryôta Yamaguchi, Shelley Hoffman
1991,tv movie,8.2,2476.0,120.0,Documentary, Biography,United Kingdom,None,English, Bangla,Bruce Balden, Jacqueline Bassett,Michael Apted,None,Unknown,None,Michael Apted,None
1984,movie,6.0,48302.0,74.0,Horror, Thriller,United States,None,English,None,Erich Anderson, Judie Aronson,Joseph Zito,None,Harry Manfredini,None,Victor Miller, Ron Kurz
2005,video movie,9.4,47.0,87.0,Short,None,Unknown,None,Unknown,None,Allegra Ashton, Nadine Marie Cuccia,Sammy Silver,None,Unknown,None,Unknown,None
1991,video movie,8.1,760.0,185.0,Documentary, Music,United States,None,English,None,John Lennon, Paul McCartney,Kathy Dougherty, Susan Froemke,Unknown,None,Unknown,None
1986,movie,7.7,105124.0,97.0,Crime, Drama,West Germany, Italy,English, Italian,Sean Connery, Christian Slater,Jean-Jacques Annaud,None,James Horner,None,Umberto Eco, Andrew Birkin
2001,movie,6.1,2040.0,98.0,Drama, Romance,Thailand,None,English, Thai,Eakarat Sarsukh, Suwinit Panjamawat,Nonzee Nimibutr,None,Chatchai Pongprapaphan, Pakawat Waiwitaya,Nonzee Nimibutr, Sirapak Paoboonkerd
2004,movie,7.8,161.0,98.0,Documentary,None,United States,None,English, Polish,Akiva Daum, Menachem Daum,Menachem Daum, Oren Rudavsky,John Zorn,None,Menachem Daum, Oren Rudavsky
1998,episode,6.0,89.0,98.0,Documentary, Biography,Unknown,None,Unknown,None,Alexander Calder,None,Roger Sherman,None,Unknown,None,Unknown,None
1993,movie,5.8,1091.0,135.0,Drama, Family,Australia,None,English,None,Caroline Goodall, Russell Crowe,John Tatoulis,None,Tassos Ioannides,None,John Tatoulis, Jon Stephens
2000,video movie,1.5,1269.0,87.0,Action, Adventure,United States,None,English,None,Eminem, Ja Rule,Dale Resteghini,None,Terence Dudley, Rob Gay L.G.,Dale Resteghini,None
1980,movie,6.3,4924.0,88.0,Action, Adventure,United Kingdom,None,English,None,Roger Moore, James Mason,Andrew V. McLaglen,None,Michael J. Lewis,None,Jack Davies, Jack Davies
2004,movie,7.2,516.0,50.0,Documentary, History,United States,None,English,None,Russ Little, Michael Bortin,Robert Stone,None,Gary Lionelli,None,Unknown,None
1986,movie,7.0,1224.0,96.82821118991332,Animation, Action,Japan,None,Japanese,None,Miki Itô, Stacey Gregg,Katsuhiko Nishijima,None,Toru Akasaka, Joey Carbone,Tomoko Kawasaki, Yûji Moriyama
1991,movie,6.5,1852.0,108.0,Comedy,None,United States,None,English,None,Griffin Dunne, Dan Futterman,Joan Micklin Silver,None,Patrick Williams,None,Frank Mugavero, Mark Goddard
1998,movie,7.0,191.0,108.0,Animation, Adventure,Japan,None,Japanese,None,Megumi Hayashibara, Maria Kawamura,Hiroshi Watanabe,None,Takayuki Hattori, Osamu Tezuka,Rui Araizumi, Hajime Kanzaka
2004,video movie,6.0,61.0,97.12636815920398,Documentary,None,United States,None,English,None,Bettie Page, James Dean,Unknown,None,Unknown,None,Carlos Larkin,None
1998,tv movie,5.4,91.0,97.0,Drama,None,United States,None,English,None,Sam Bottoms, Lisa Eichhorn,Steven Kovacs,None,Joël Lindheimer,None,Steven Kovacs,None
2000,video movie,7.8,21.0,97.0,Documentary, Biography,United States,None,English,None,Muddy Waters, Pinetop Perkins,Unknown,None,Unknown,None,Unknown,None
1999,movie,6.7,2111.0,91.0,Biography, Drama,Spain, Italy,Spanish, French,Francisco Rabal, Jose Coronado,Carlos Saura,None,Roque Baños,None,Carlos Saura, Luigi Scattini
1989,movie,7.8,3261.0,114.0,Action, Crime,India,None,Hindi,None,Jackie Shroff, Anil Kapoor,Vidhu Vinod Chopra,None,Rahul Dev Burman, Babloo Chakravorty,Vidhu Vinod Chopra, Vidhu Vinod Chopra
1939,movie,6.4,721.0,23.0,Musical, Comedy,United Kingdom,None,English,None,Kenny Baker, Martyn Green,Victor Schertzinger,None,Unknown,None,W.S. Gilbert, Geoffrey Toye
1988,tv series,7.3,10700.0,105.0,Animation, Comedy,United States,None,English,None,Lorenzo Music, Thom Huge,Unknown,None,Unknown,None,Jim Davis, Mark Evanier
2003,video movie,6.7,12096.0,134.0,Animation, Action,United States,None,English,None,Kevin Conroy, Kimberly Brooks,Jennifer Graves, Tim Maltby,Lolita Ritmanis,None,Bob Kane, Alan Burnett
1987,movie,4.5,1802.0,96.82821118991332,Action, Comedy,United States,None,English,None,Burt Reynolds, Liza Minnelli,Jerry London,None,Jerry Goldsmith, Michael Licari,Michael Blodgett, Dennis Shryack
2002,movie,4.5,309.0,48.0,Comedy,None,United States,None,English,None,Pierre Edwards, Reynaldo Rey,Pierre Edwards, Mike Williams,Tony Prendatt,None,Pierre Edwards,None
1990,movie,8.1,116.0,86.0,Documentary, Music,United States,None,English,None,Billy Joel, David Brown,Jon Small,None,Unknown,None,Martin Torgoff,None
1985,movie,7.4,3772.0,91.0,Action, Comedy,Hong Kong,None,Cantonese,None,Ching-Ying Lam, Siu-Ho Chin,Ricky Lau,None,Melody Bank,None,Ricky Lau, Cheuk-Hon Szeto
1991,video movie,7.2,26.0,97.0,Unknown,None,United States, Canada,English, French,Jeff Beck, Ronald Isley,Unknown,None,Unknown,None,Unknown,None
1997,movie,5.0,76.0,94.0,Drama, Music,Canada,None,English,None,Holly Ferguson, Todd Kerns,Kirsten Clarkson,None,Hellenkeller,None,Kirsten Clarkson,None
2001,movie,6.9,959.0,82.0,Drama,None,Denmark,None,Danish, Swedish,Stine Stengade, Lars Mikkelsen,Ole Christian Madsen,None,César Berti, Øyvind Ougaard,Ole Christian Madsen, Mogens Rukov
2001,movie,5.2,818.0,108.0,Comedy, Drama,United States,None,English, French,Sylvie Testud, Benjamin Tessier,Jesse Peretz,None,Patrik Bartosch, Nathan Larson,Thomas Bidegain, Jesse Peretz
1998,video movie,7.0,9.0,128.0,Short, Family,Australia,None,English,None,Murray Cook, Jeff Fatt,Chisholm McTavish,None,Unknown,None,Murray Cook, Jeff Fatt
2003,movie,7.0,3664.0,106.0,Comedy, Drama,Germany,None,German, English,Horst Krause, Harald Warmbrunn,Michael Schorr,None,Dirk Niemeier, Thomas Wittenbecher,Michael Schorr,None
2003,tv movie,7.1,170.0,111.0,Documentary,None,United States,None,English,None,Bernie Bandman, Frankie Bass,Ron Berger, Dan Klores,Sherman Foote,None,Unknown,None
1976,movie,5.4,819.0,103.0,Action, Comedy,United States,None,English,None,Ron Howard, Christopher Norris,Charles B. Griffith,None,David Grisman,None,Charles B. Griffith,None
1986,episode,8.5,31.0,117.0,Crime, Drama,Unknown,None,Unknown,None,Vincent Price,None,Unknown,None,Unknown,None,Unknown,None
1955,movie,8.5,28376.0,90.0,Drama,None,India,None,Bangla,None,Kanu Bannerjee, Karuna Bannerjee,Satyajit Ray,None,Ravi Shankar,None,Bibhutibhushan Bandyopadhyay, Satyajit Ray
1950,movie,8.0,11661.0,88.0,Fantasy, Drama,France,None,French,None,Jean Marais, François Périer,Jean Cocteau,None,Georges Auric,None,Jean Cocteau,None
2001,movie,3.3,483.0,104.0,Action, Adventure,United States,None,English,None,Treat Williams, Hannes Jaenicke,Jim Wynorski,None,Neal Acree,None,Steve Latshaw,None
2004,video movie,6.5,21.0,75.0,Animation,None,United States,None,English,None,Unknown,None,Unknown,None,Unknown,None,Jesse Marsh, Harry Reeves
2004,video movie,7.0,36.0,114.0,Documentary, Short,United States,None,English,None,Bibi Andersson, Ingmar Bergman,Greg Carson,None,Unknown,None,Unknown,None
2004,movie,5.8,105.0,89.0,Documentary, Short,United States,None,English,None,Patrick Caddell, Ann Coulter,Elinor Burkett, Patrick Wright,Unknown,None,Unknown,None
1995,movie,6.9,705.0,93.0,Drama, War,China,None,Russian, German,Ke-Yu Guo, Xiao-Li Xu,Daying Ye,None,Liqing Yang,None,Qitao Jiang, Wei Lu
1998,movie,7.3,1517.0,124.0,Comedy, Drama,Japan, France,Japanese, German,Akira Emoto, Kumiko Asô,Shohei Imamura,None,Kazuki Kuriyama, Yosuke Yamashita,Shohei Imamura, Ango Sakaguchi
2005,video movie,7.9,29.0,87.0,Documentary,None,United States,None,English,None,Danny DeVito, Barbara Hershey,John Scheinfeld,None,Unknown,None,John Scheinfeld,None
2003,tv movie,4.3,387.0,92.0,Drama, Sci-Fi,Canada,None,English,None,Joe Lando, Nicole Eggert,Gilbert M. Shilton,None,William Boston,None,Ira Schwartz, Anthony L. Greene
1986,tv movie,7.2,1194.0,96.35934959349593,Action, Drama,Canada, United States,English,None,Steven Bauer, Michael York,Michael Anderson,None,Georges Delerue,None,Chris Bryant, George Jonas
2001,tv movie,4.7,505.0,83.0,Thriller,None,United States,None,English,None,Casper Van Dien, Gerald McRaney,Jon Cassar,None,Norman Orenstein,None,Lucian Truscott IV,None
2002,movie,6.7,1361.0,105.0,Drama,None,Canada,None,English,None,Molly Parker, Rebecca Jenkins,Wiebke von Carolsfeld,None,Lesley Barber,None,Daniel MacIvor, Daniel MacIvor
1999,video movie,5.9,2580.0,120.0,Animation, Action,Japan,None,Japanese,None,Kane Kosugi, Kazuya Ichijô,Shigeyasu Yamauchi, Masahiro Hosoda,Hayato Matsuo,None,Takashi Nishiyama, Hiroshi Matsumoto
1998,video movie,7.4,44.0,91.0,Short, Family,Australia,None,English,None,Murray Cook, Jeff Fatt,Chisholm McTavish,None,Unknown,None,Murray Cook, Jeff Fatt
1997,movie,7.8,29196.0,28.0,Crime, Drama,Japan,None,Japanese,None,Takeshi Kitano, Kayoko Kishimoto,Takeshi Kitano,None,Joe Hisaishi,None,Takeshi Kitano,None
2005,movie,5.4,1995.0,37.0,Crime, Drama,India,None,Hindi,None,Emraan Hashmi, Shamita Shetty,Mohit Suri,None,Anu Malik, Roop Kumar Rathod,Mahesh Bhatt,None
1998,video movie,3.4,1774.0,90.0,Animation, Adventure,United States,None,English,None,Peter MacNicol, Andrew Ducote,Dick Sebast,None,Lee Holdridge,None,Sam Graham, Chris Hubbell
1995,movie,8.0,6861.0,108.0,Action, Adventure,Hong Kong,None,Cantonese,None,Stephen Chow, Man-Tat Ng,Jeffrey Lau,None,Lowell Lo, Jiping Zhao,Jeffrey Lau, Chengen Wu
1996,video movie,8.3,15.0,93.0,Documentary, Biography,United States,None,English,None,Bud Abbott, Desi Arnaz,Les Brown Jr., Tom Weshelski,Unknown,None,Les Brown Jr.,None
2005,movie,3.9,986.0,98.0,Crime, Horror,United Kingdom,None,English, German,Luke Goss, Kevin Howarth,Andrew Goth,None,Richard Fox, Lauren Yason,Joanne Reay,None
1982,movie,5.6,6539.0,120.0,Horror, Sci-Fi,United Kingdom,None,English,None,Philip Sayer, Bernice Stegers,Harry Bromley Davenport,None,Harry Bromley Davenport,None,Harry Bromley Davenport, Iain Cassie
1994,tv mini series,7.4,2393.0,121.0,Drama, History,United Kingdom, United States,English,None,Douglas Hodge, Juliet Aubrey,Unknown,None,Unknown,None,Andrew Davies, George Eliot
2003,episode,6.2,61.0,88.0,Animation, Family,United States,None,English,None,Sarah Heinke, Dee Bradley Baker,Unknown,None,Unknown,None,Shelley Zellman,None
1994,video movie,8.2,128.0,103.0,Documentary, Music,United States,None,English,None,Karl Vanden Bossche, Rick Braun,Sophie Muller,None,Unknown,None,Unknown,None
1987,movie,6.4,544.0,96.82821118991332,Action, Crime,Hong Kong,None,Cantonese, Mandarin,Chow Yun-Fat, Andy Lau,Taylor Wong,None,Unknown,None,Stephen Shiu,None
1952,tv series,8.5,602.0,115.0,Documentary, Action,United States,None,English,None,Leonard Graves, Winston Churchill,Unknown,None,Unknown,None,Richard Hanser, Richard Hanser
1987,movie,6.1,50712.0,165.0,Comedy, Drama,United States, France,English,None,Tom Selleck, Steve Guttenberg,Leonard Nimoy,None,Marvin Hamlisch,None,Coline Serreau, James Orr
2004,tv movie,7.3,1639.0,122.0,Drama,None,Ireland, United Kingdom,English,None,Gerard McSorley, Michèle Forbes,Pete Travis,None,Unknown,None,Paul Greengrass, Guy Hibbert
1985,movie,7.4,2807.0,97.0,Animation, Adventure,United States,None,English,None,James Whitmore, Michele Mariana,Will Vinton,None,Billy Scream,None,Susan Shadburne, Mark Twain
1979,movie,7.5,34232.0,85.0,Drama, Horror,West Germany, France,German, English,Klaus Kinski, Isabelle Adjani,Werner Herzog,None,Florian Fricke, Popol Vuh,Werner Herzog, Bram Stoker
2005,movie,7.5,976.0,90.0,Documentary, Action,United States,None,English,None,Mario Andretti, Sal Fish,Dana Brown,None,Nathan Furst,None,Dana Brown,None
1998,movie,7.7,7696.0,83.0,Drama, Romance,India, Canada,Hindi, English,Aamir Khan, Nandita Das,Deepa Mehta,None,A.R. Rahman,None,Deepa Mehta, Bapsi Sidhwa
1983,movie,4.7,869.0,80.0,Comedy, Drama,United Kingdom,None,English,None,Patrick Pearson, Michael Elphick,Michael Blakemore,None,Denis King,None,Peter Nichols, Peter Nichols
1962,movie,7.4,505.0,111.0,Musical, Comedy,India,None,Hindi,None,Kishore Kumar, Madhubala,Kalidas,None,Salil Choudhury,None,Suhrid Kar, Ramesh Pant
1972,movie,7.3,28719.0,118.0,Action, Drama,Hong Kong,None,Mandarin, Cantonese,Bruce Lee, Nora Miao,Wei Lo,None,Joseph Koo,None,Wei Lo,None
1993,tv mini series,8.5,103.0,100.0,Documentary,None,United States,None,English,None,Audrey Hepburn, Michael York,Unknown,None,Unknown,None,Unknown,None
1998,movie,4.7,7472.0,63.0,Comedy, Sport,United States,None,English,None,Scott Bakula, Corbin Bernsen,John Warren,None,Robert Folk,None,David S. Ward, John Warren
2004,video movie,5.4,160.0,81.0,Documentary,None,United States,None,English,None,Brittany Andrews, Julia Ann,Doug Jacobson,None,Unknown,None,Unknown,None
2002,movie,7.2,63.0,119.0,Documentary, Biography,United States,None,English,None,Big Pun, Felix Delgado,Fat Joe, Lisa Rios,Felix Delgado, Fat Joe,Marcos Antonio Miranda, Liza Rios
2002,tv movie,6.6,1021.0,89.0,Biography, Drama,Germany, United States,English, German,Til Schweiger, Leonard Roberts,Steve James,None,Jeff Beal,None,Jason Horwitch,None
2005,video movie,9.1,34.0,105.0,Documentary,None,United States,None,English,None,Lucky Strike,None,Tane Langton,None,Unknown,None,Unknown,None
1974,movie,6.3,1294.0,114.0,Action, Thriller,United States,None,English,None,Jim Brown, Fred Williamson,Gordon Parks Jr.,None,Richard Tufo,None,Eric Bercovici, Jerrold L. Ludwig
1997,video movie,7.7,97.0,106.0,Documentary, Music,United Kingdom,None,English,None,Chris Lowe, Neil Tennant,Annie Griffin,None,Unknown,None,Unknown,None
1991,movie,7.3,19718.0,124.0,Action, Adventure,Hong Kong,None,Cantonese,None,Jackie Chan, Carol Do Do Cheng,Jackie Chan,None,Chris Babida, Stephen Endelman,Jackie Chan, Edward Tang
2003,movie,7.4,8924.0,91.0,Drama, War,Afghanistan, Ireland,Dari, Pashto,Marina Golbahari, Khwaja Nader,Siddiq Barmak,None,Mohammad Reza Darvishi,None,Siddiq Barmak,None
2001,movie,7.1,3285.0,129.0,Drama, Music,France, United Kingdom,English, Russian,Harvey Keitel, Stellan Skarsgård,István Szabó,None,Unknown,None,Ronald Harwood, Ronald Harwood
1981,movie,5.6,238.0,120.0,Action,None,Hong Kong,None,Cantonese,None,Chia-Hui Liu, Eagle Han,Yang-Ming Tsai,None,Unknown,None,Ge Kao,None
2003,video movie,4.0,1413.0,85.0,Horror, Sci-Fi,United States,None,English,None,Stephen Baldwin, A.J. Buckley,Christian McIntire,None,Richard McHugh,None,Kevin Gendreau, Bill Lundy
1965,movie,7.3,8699.0,25.0,Drama, Mystery,United Kingdom,None,English,None,Laurence Olivier, Carol Lynley,Otto Preminger,None,Paul Glass,None,John Mortimer, Penelope Mortimer
1966,movie,8.0,10432.0,45.0,Action, Drama,Japan,None,Japanese,None,Tatsuya Nakadai, Michiyo Aratama,Kihachi Okamoto,None,Masaru Satô,None,Shinobu Hashimoto, Kaizan Nakazato
2001,movie,7.0,3071.0,87.0,Musical, Comedy,United States,None,English,None,Cory McAbee, Rocco Sisto,Cory McAbee,None,The Billy Nayer Show,None,Cory McAbee,None
2003,tv movie,7.1,629.0,95.0,Mystery,None,United States,None,English, Esperanto,Gary Farmer, Adam Beach,Chris Eyre,None,BC Smith,None,Alice Arlen, Tony Hillerman
1997,tv movie,6.9,1329.0,162.0,Drama,None,United States,None,English,None,Omar Epps, Delroy Lindo,Charles S. Dutton,None,Joseph Vitarelli,None,Daniel Therriault,None
2004,movie,7.6,24793.0,101.0,Crime, Drama,United Kingdom, France,English,None,Imelda Staunton, Richard Graham,Mike Leigh,None,Andrew Dickson,None,Mike Leigh,None
2003,tv movie,7.7,1333.0,92.0,Drama,None,United Kingdom, United States,English,None,Ciarán Hinds, Juliet Aubrey,David Thacker,None,Adrian Johnston,None,Thomas Hardy, Ted Whitehead
1994,tv series,7.8,8987.0,240.0,Animation, Adventure,Canada, United States,English,None,Lily Tomlin, Daniel DeSanto,Unknown,None,Unknown,None,Joanna Cole, Bruce Degen
1959,tv series,9.0,75784.0,103.0,Drama, Fantasy,United States,None,Unknown,None,Rod Serling, Robert McCord,Unknown,None,Unknown,None,Rod Serling, Rod Serling
2004,tv movie,8.2,28.0,150.0,Documentary,None,United States,None,English,None,Karl Rove, Ann Richards,Paul Stekler,None,Unknown,None,Unknown,None
