economy,YR2015,YR2016,YR2017,YR2018,YR2019
PRI,1.3,1.3,0.8,1.3,1.2
PRK,,,,,
PRT,2.2,2.1,2.1,2.0,1.9
PRY,58.0,58.1,58.2,58.4,52.2
PSE,83.3,46.8,45.0,46.8,40.3
PSS,35.0555555555556,33.0333333333333,33.4777777777778,32.5111111111111,32.0777777777778
PST,4.31111111111111,4.25833333333333,3.725,3.575,3.43333333333333
PYF,,,,,
QAT,5.1,5.8,6.3,6.7,6.3
ROU,2.1,2.0,0.4,0.4,0.3
RUS,1.4,1.2,1.1,1.1,1.0
RWA,55.0,48.5,44.6,24.7,0.0
SAS,14.725,13.7,21.8125,11.2625,8.2625
SAU,5.7,6.0,6.8,6.6,5.4
SDN,14.8,30.5,27.8,20.9,17.8
SEN,63.4,62.7,33.8,32.0,22.6
SGP,0.6,0.6,0.5,0.4,0.4
SLB,31.4,28.5,28.9,28.1,27.4
SLE,44.2,8.6,10.3,8.4,7.6
SLV,43.4,41.4,41.4,45.1,43.3
SMR,9.0,8.8,9.1,9.0,8.8
SOM,180.0,176.5,203.6,195.2,198.2
SRB,6.6,6.5,2.3,2.2,2.3
SSA,59.9468085106383,57.3744680851064,53.0276595744681,45.2787234042553,36.8063829787234
SSD,330.1,422.4,305.0,122.6,77.4
SSF,58.99375,56.4583333333333,52.1979166666667,44.6145833333333,36.3
SST,28.8208333333333,26.9020833333333,24.2208333333333,22.95625,19.4895833333333
STP,16.7,15.2,13.2,12.3,12.4
SUR,100.7,96.5,94.0,93.4,93.5
SVK,1.5,1.1,1.1,1.0,1.0
SVN,0.0,0.0,0.0,0.0,0.0
SWE,0.5,0.5,0.5,0.5,0.5
SWZ,23.4,16.6,16.4,18.3,10.7
SXM,,,,,
SYC,14.2,13.4,13.2,13.4,12.5
SYR,8.5,8.9,7.9,7.6,8.1
TCA,,,,,
TCD,150.4,159.8,171.3,172.3,169.3
TEA,26.7904761904762,23.1761904761905,22.8333333333333,21.2333333333333,20.4904761904762
TEC,5.74090909090909,5.72727272727273,5.04090909090909,4.51363636363636,4.04545454545455
TGO,77.8,71.2,66.0,41.7,8.1
THA,6.7,6.6,6.2,3.1,3.0
TJK,21.5,16.8,19.3,18.0,17.5
TKM,,,,,
TLA,33.1833333333333,33.8566666666667,40.0233333333333,40.5533333333333,32.9666666666667
TLS,0.3,0.5,0.5,0.6,0.7
TMN,36.7083333333333,36.575,27.3916666666667,29.8,20.9666666666667
TON,7.5,6.8,7.1,6.5,6.0
TSA,14.725,13.7,21.8125,11.2625,8.2625
TSS,58.99375,56.4583333333333,52.1979166666667,44.6145833333333,36.3
TTO,0.7,0.6,0.8,0.7,0.7
TUN,3.9,4.7,4.6,4.3,2.9
TUR,22.2,21.8,15.9,10.6,6.0
TUV,,,,,
