economy,YR2015,YR2016,YR2017,YR2018,YR2019
NPL,17.0,17.0,18.5,18.5,22.5
NRU,,,,,
NZL,0.5,0.5,0.5,0.5,0.5
OED,10.5184210526316,10.0947368421053,10.0947368421053,10.0421052631579,9.47894736842105
OMN,9.3,7.3,4.3,4.3,4.3
OSS,24.9076923076923,24.6538461538462,18.5384615384615,18.1346153846154,15.5769230769231
PAK,20.0,20.0,19.5,16.5,16.5
PAN,6.0,6.0,6.0,6.0,6.0
PER,41.5,41.0,41.0,26.0,26.0
PHL,25.0,25.0,39.0,34.0,33.0
PLW,28.0,28.0,28.0,28.0,28.0
PNG,53.0,41.0,41.0,41.0,41.0
POL,37.0,37.0,37.0,37.0,37.0
PRE,26.1702702702703,25.3486486486486,21.3486486486486,21.2405405405405,20.6540540540541
PRI,6.0,5.5,5.5,5.5,5.5
PRK,,,,,
PRT,6.0,6.0,6.5,6.5,6.5
PRY,35.0,35.0,35.0,35.0,35.0
PSE,43.5,43.5,43.5,43.5,43.5
PSS,24.3333333333333,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444
PST,12.4666666666667,11.8666666666667,11.5888888888889,11.6166666666667,11.1888888888889
PYF,,,,,
QAT,9.7,9.7,9.7,8.7,8.7
ROU,8.0,12.0,12.0,35.0,20.0
RUS,10.8,10.1,10.1,10.1,10.1
RWA,6.0,4.0,4.0,4.0,4.0
SAS,16.5,16.1875,16.1,14.0625,14.5625
SAU,23.3,19.3,17.8,17.8,10.4
SDN,36.5,36.5,36.5,34.5,34.5
SEN,6.0,6.0,6.0,6.0,6.0
SGP,2.5,2.5,2.5,1.5,1.5
SLB,9.0,9.0,9.0,9.0,9.0
SLE,10.0,8.0,8.0,8.0,8.0
SLV,16.5,16.5,16.5,16.5,16.5
SMR,12.5,12.5,12.5,12.5,11.5
SOM,70.0,70.0,70.0,70.0,70.0
SRB,11.5,6.5,5.5,5.5,7.0
SSA,28.8255319148936,28.1148936170213,23.9021276595745,23.0191489361702,21.3021276595745
SSD,14.0,14.0,13.0,13.0,13.0
SSF,28.8916666666667,28.1958333333333,24.0708333333333,23.20625,21.525
SST,24.2104166666667,22.8854166666667,19.53125,19.3125,17.59375
STP,7.0,7.0,7.0,7.0,7.0
SUR,84.0,66.0,66.0,66.0,66.0
SVK,26.5,26.5,26.5,26.5,21.5
SVN,6.0,6.0,6.0,8.0,8.0
SWE,7.0,7.0,7.0,7.5,7.5
SWZ,30.0,30.0,30.0,30.0,21.5
SXM,,,,,
SYC,32.0,32.0,32.0,32.0,32.0
SYR,13.5,15.5,15.5,15.5,15.5
TCA,,,,,
TCD,60.0,60.0,60.0,58.0,58.0
TEA,35.7190476190476,32.9857142857143,32.1380952380952,30.3333333333333,29.647619047619
TEC,14.5818181818182,14.3909090909091,13.7545454545455,14.2772727272727,13.2772727272727
TGO,10.0,6.0,6.0,5.5,2.5
THA,31.0,29.0,6.0,6.0,6.0
TJK,11.0,21.0,10.0,10.0,7.0
TKM,,,,,
TLA,33.1133333333333,33.9633333333333,33.6966666666667,30.2,29.8
TLS,14.0,14.0,13.0,13.0,13.0
TMN,24.625,24.75,24.0,23.25,23.3333333333333
TON,16.0,16.0,16.0,16.0,16.0
TSA,16.5,16.1875,16.1,14.0625,14.5625
TSS,28.8916666666667,28.1958333333333,24.0708333333333,23.20625,21.525
TTO,11.5,10.5,10.5,10.5,10.5
TUN,13.0,13.0,13.0,9.0,9.0
TUR,11.0,10.0,10.0,7.0,7.0
TUV,,,,,
TZA,29.0,29.0,29.0,27.5,29.5
UGA,27.0,26.0,24.0,24.0,24.0
UKR,8.0,6.5,6.5,6.5,6.5
UMC,26.2549019607843,25.556862745098,21.8411764705882,19.4823529411765,18.6882352941176
URY,6.5,6.5,6.5,6.5,6.5
USA,5.6,5.6,5.6,5.6,4.2
UZB,5.5,5.5,5.0,3.0,3.0
VCT,10.0,10.0,10.0,10.0,10.0
VEN,186.0,230.0,230.0,230.0,230.0
VGB,,,,,
VIR,,,,,
VNM,20.0,24.0,22.0,17.0,16.0
VUT,35.0,18.0,18.0,18.0,18.0
WLD,23.3936842105263,22.9952631578947,21.4847368421053,20.5,19.5973821989529
WSM,9.0,9.0,9.0,9.0,9.0
XKX,10.0,6.0,5.5,5.5,4.5
YEM,40.5,40.5,40.5,40.5,40.5
ZAF,46.0,45.0,45.0,40.0,40.0
ZMB,8.5,8.5,8.5,8.5,8.5
ZWE,91.0,91.0,61.0,32.0,27.0
