economy,YR2015,YR2016,YR2017,YR2018,YR2019
SST,7.52083333333333,7.3125,7.20833333333333,7.08333333333333,6.95833333333333
STP,6.0,6.0,6.0,6.0,6.0
SUR,13.0,8.0,8.0,8.0,8.0
SVK,8.0,8.0,8.0,8.0,7.0
SVN,2.0,2.0,2.0,3.0,3.0
SWE,3.0,3.0,3.0,4.0,4.0
SWZ,12.0,12.0,12.0,12.0,12.0
SXM,,,,,
SYC,9.0,9.0,9.0,9.0,9.0
SYR,7.0,7.0,7.0,7.0,7.0
TCA,,,,,
TCD,9.0,9.0,9.0,8.0,8.0
TEA,8.23809523809524,8.09523809523809,8.09523809523809,7.71428571428571,7.28571428571429
TEC,5.72727272727273,5.59090909090909,5.45454545454545,5.13636363636364,5.09090909090909
TGO,6.0,5.0,5.0,4.0,3.0
THA,7.0,6.0,5.0,5.0,5.0
TJK,4.0,5.0,4.0,4.0,3.0
TKM,,,,,
TLA,8.7,8.5,8.43333333333333,8.23333333333333,8.2
TLS,5.0,5.0,6.0,6.0,6.0
TMN,8.41666666666667,8.41666666666667,8.25,7.58333333333333,7.16666666666667
TON,4.0,4.0,4.0,4.0,4.0
TSA,8.625,8.5,8.375,7.75,7.125
TSS,8.5625,8.1875,7.8125,7.625,7.54166666666667
TTO,7.0,7.0,7.0,7.0,7.0
TUN,11.0,11.0,11.0,7.0,3.0
TUR,11.0,10.0,10.0,7.0,7.0
TUV,,,,,
TZA,11.0,11.0,11.0,10.0,10.0
UGA,14.0,13.0,13.0,13.0,13.0
UKR,5.0,6.0,6.0,6.0,6.0
UMC,7.43137254901961,7.19607843137255,7.09803921568627,6.76470588235294,6.76470588235294
URY,5.0,5.0,5.0,5.0,5.0
USA,6.0,6.0,6.0,6.0,6.0
UZB,4.0,4.0,3.0,3.0,3.0
VCT,7.0,7.0,7.0,7.0,7.0
VEN,20.0,20.0,20.0,20.0,20.0
VGB,,,,,
VIR,,,,,
VNM,9.0,9.0,9.0,8.0,8.0
VUT,8.0,7.0,7.0,7.0,7.0
WLD,7.5,7.28421052631579,7.08421052631579,6.84816753926702,6.6282722513089
WSM,4.0,4.0,4.0,4.0,4.0
XKX,4.0,3.0,3.0,3.0,3.0
YEM,6.0,6.0,6.0,6.0,6.0
ZAF,7.0,7.0,7.0,7.0,7.0
ZMB,7.0,7.0,7.0,7.0,7.0
ZWE,10.0,10.0,9.0,9.0,9.0
